COUNTY,POP
"Alamance County, North Carolina","171,415"
"Alexander County, North Carolina","36,444"
"Alleghany County, North Carolina","10,888"
"Anson County, North Carolina","22,055"
"Ashe County, North Carolina","26,577"
"Avery County, North Carolina","17,806"
"Beaufort County, North Carolina","44,652"
"Bertie County, North Carolina","17,934"
"Bladen County, North Carolina","29,606"
"Brunswick County, North Carolina","136,693"
"Buncombe County, North Carolina","269,452"
"Burke County, North Carolina","87,570"
"Cabarrus County, North Carolina","225,804"
"Caldwell County, North Carolina","80,652"
"Camden County, North Carolina","10,355"
"Carteret County, North Carolina","67,686"
"Caswell County, North Carolina","22,736"
"Catawba County, North Carolina","160,610"
"Chatham County, North Carolina","76,285"
"Cherokee County, North Carolina","28,774"
"Chowan County, North Carolina","13,708"
"Clay County, North Carolina","11,089"
"Cleveland County, North Carolina","99,519"
"Columbus County, North Carolina","50,623"
"Craven County, North Carolina","100,720"
"Cumberland County, North Carolina","334,728"
"Currituck County, North Carolina","28,100"
"Dare County, North Carolina","36,915"
"Davidson County, North Carolina","168,930"
"Davie County, North Carolina","42,712"
"Duplin County, North Carolina","48,715"
"Durham County, North Carolina","324,833"
"Edgecombe County, North Carolina","48,900"
"Forsyth County, North Carolina","382,590"
"Franklin County, North Carolina","68,573"
"Gaston County, North Carolina","227,943"
"Gates County, North Carolina","10,478"
"Graham County, North Carolina","8,030"
"Granville County, North Carolina","60,992"
"Greene County, North Carolina","20,451"
"Guilford County, North Carolina","541,299"
"Halifax County, North Carolina","48,622"
"Harnett County, North Carolina","133,568"
"Haywood County, North Carolina","62,089"
"Henderson County, North Carolina","116,281"
"Hertford County, North Carolina","21,552"
"Hoke County, North Carolina","52,082"
"Hyde County, North Carolina","4,589"
"Iredell County, North Carolina","186,693"
"Jackson County, North Carolina","43,109"
"Johnston County, North Carolina","215,999"
"Jones County, North Carolina","9,172"
"Lee County, North Carolina","63,285"
"Lenoir County, North Carolina","55,122"
"Lincoln County, North Carolina","86,810"
"McDowell County, North Carolina","44,578"
"Macon County, North Carolina","37,014"
"Madison County, North Carolina","21,193"
"Martin County, North Carolina","22,031"
"Mecklenburg County, North Carolina","1,115,482"
"Mitchell County, North Carolina","14,903"
"Montgomery County, North Carolina","25,751"
"Moore County, North Carolina","99,727"
"Nash County, North Carolina","94,970"
"New Hanover County, North Carolina","225,702"
"Northampton County, North Carolina","17,471"
"Onslow County, North Carolina","204,576"
"Orange County, North Carolina","148,696"
"Pamlico County, North Carolina","12,276"
"Pasquotank County, North Carolina","40,568"
"Pender County, North Carolina","60,203"
"Perquimans County, North Carolina","13,005"
"Person County, North Carolina","39,097"
"Pitt County, North Carolina","170,243"
"Polk County, North Carolina","19,328"
"Randolph County, North Carolina","144,171"
"Richmond County, North Carolina","42,946"
"Robeson County, North Carolina","116,530"
"Rockingham County, North Carolina","91,096"
"Rowan County, North Carolina","146,875"
"Rutherford County, North Carolina","64,444"
"Sampson County, North Carolina","59,036"
"Scotland County, North Carolina","34,174"
"Stanly County, North Carolina","62,504"
"Stokes County, North Carolina","44,520"
"Surry County, North Carolina","71,359"
"Swain County, North Carolina","14,117"
"Transylvania County, North Carolina","32,986"
"Tyrrell County, North Carolina","3,245"
"Union County, North Carolina","238,267"
"Vance County, North Carolina","42,578"
"Wake County, North Carolina","1,129,410"
"Warren County, North Carolina","18,642"
"Washington County, North Carolina","11,003"
"Watauga County, North Carolina","54,086"
"Wayne County, North Carolina","117,333"
"Wilkes County, North Carolina","65,969"
"Wilson County, North Carolina","78,784"
"Yadkin County, North Carolina","37,214"
"Yancey County, North Carolina","18,470"
